author,username,retweet_count,tweets,created_at,type
iamtaehyungii,delldeell,174,"RT @iamtaehyungii: Dikasih finger heart sama Jungkook
Welcome back to korea sayang💜 @BTS_twt
  https://t.co/MzMMM1SCoi",2021-12-06 03:58:48,retweeted
purpleloveplus,Plis58946256,1711,"RT @purpleloveplus: Seokjin — Weverse 🐹 
06.12.2021 (05:30 AM KST)

✎Seokjin-ah, bienvenido a Corea. 

©BTSBaragi_jk | @BTS_twt #BTS https:…",2021-12-06 03:58:47,retweeted
BTSxBRAZIL,ggukfaither,0,"@BTSxBRAZIL @anpanbtsbrasil_ @StoreKLine @BTS_twt Kim Seokjin 
@BTS_twt",2021-12-06 03:58:45,replied_to
INDOMYGOLD,sugarsiius,5,"RT @INDOMYGOLD: [🎥]

TXT Soobin tentang Super Chamchi Jin ✨

Soobin: lagu trot Seokjin-ie hyung dirilis..apa itu? Apakah itu Super Chamchi…",2021-12-06 03:58:45,retweeted
laviedenoona,ttttiiiinggggg,395,"RT @laviedenoona: Untuk Namjoon, j-hope, Yoongi, Taehyung. Kapan pun kalian kembali ke Korea. Have a safe flight @BTS_twt ✈️💜",2021-12-06 03:58:45,retweeted
,vlhygii,0,AYO ARMY VOTE BTS💜💜💜 JANGAN MAU KETINGGALAN PLIS https://t.co/uGYQBs4q1Y,2021-12-06 03:58:40,
lunarheath_9295,PoppularrPt,9622,"RT @lunarheath_9295: 「HD」211127 PTD LA Day1

#Jin #진 #석진 #김석진
#V #뷔 #태형 #TAEHYUNG 
#taejin #vjin @BTS_twt https://t.co/2CFsA0I0BA",2021-12-06 03:58:34,retweeted
DreamersRadioID,aliciapaulaa,1,"RT @DreamersRadioID: BTS Akan Ambil Waktu Liburan Panjang Sebelum Rilis Album Baru dan Konser

#BTS #DreamersDaily
https://t.co/6kCnYT5yVj…",2021-12-06 03:58:34,retweeted
7btsupdates,meepiraa,343,"RT @7btsupdates: Jimin🌟 weverse 211206

🐥: kami sudah kembali (ke Korea) 😊

#BTS @BTS_twt 
- moon✨ https://t.co/HYVRrdyAX7",2021-12-06 03:58:27,retweeted
,jiminiepuffle,0,"karena bts mau rest, sy jg mau ikutan rest yh geng. gtau sie smpe kapan, kyknya smpe mid january atau february. sehat² klen semua yh. jgn unpol sy, tunggu smpe jan/feb. gudbai",2021-12-06 03:58:23,
