author,username,retweet_count,tweets,created_at,type
ChoopieCookies,thesunsetvibes,0,@ChoopieCookies @anneyaas @detikcom Asal ngomong emang enak dan gampang. Mereka sampe ngomong begitu ya mungkin karena sarkas dan di anak tirikan. Kita juga gatau seberapa berjuang mereka buat juara dunia dan perjuangin bonus buat atletnya tetep gak dapet mungkin. Makanya akhirnya gerah sm yg ngeluh mulu,2021-12-06 02:38:14,replied_to
yanuindah,incredible_loey,9,"RT @yanuindah: @XumaFans sayang kemaren itu 3 turnamennya di indonesia, mungkin kalo ga di indonesia mereka ga ikut cem TTY gitu, karena di…",2021-12-06 02:38:02,retweeted
,BNNKPAGARALAM,1,#Selamat Megalitik Besemah meraih Juara 1 Situs Sejarah Terbaik di Ajang Anugerah Pesona Indonesia Award 2021 https://t.co/jbOBJW9Nu4,2021-12-06 02:37:52,
chandra04225304,noldy_v,3,RT @chandra04225304: @bdmntnfans Bisa kok psti bisa. Kalo gak thun ini ya mungkin tahun depan. Kita yg nnton pertandingan beruntun gini aja…,2021-12-06 02:37:14,retweeted
,BeritaAcehApp,0,"Berita Aceh Terkini
Rusia Raih Gelar Juara Piala Davis Untuk Ketiga Kali 

#BeritaAcehTerkini by @BeritaAcehApp
https://t.co/ThcmSkRO7r",2021-12-06 02:36:42,
Khairul_Bard,Zharfan_Firdaus,1,"RT @Khairul_Bard: @fc_jerantut @tokgajahforever Tahniah anak muda @fc_jerantut... Terapkan mentaliti juara dalam diri, in shaa Allah akan k…",2021-12-06 02:36:29,retweeted
lokaljuara,Efandiii,861,"RT @lokaljuara: Legend banget nih ngewenya bikin sange yg nonton. Pngn sm topnya🔥lokal juara ngewe

Download app video LIVE lokal hot strea…",2021-12-06 02:36:12,retweeted
persib,CecepMu03160937,0,"@persib Yang penting menang dan kembali ke jalur. Tapi yang paling penting persib harus menang di pertandingan lawan persebaya, kalau menang jalan mulai datar, tapi kalau sampai draw apalagi kalah kita harus memupus juara tahun ini.",2021-12-06 02:35:57,replied_to
NOTASLIMBOY,onomsalam2pas,4,"RT @NOTASLIMBOY: Ayo, mau diseriusin atau mau simpan tenaga karena pasti juara grup. Silakan...",2021-12-06 02:35:38,retweeted
XumaFans,WidyYuliastuti,0,"@XumaFans Ngomong doang mah enak,atlet yg ngejalanin,klo kemren bukan di Indonesia juga bisa ajh mereka gk ikut,efek tuan rumah juga mereka dituntut buat ikut dan juara.pickya picky mulu ngomongnya.emng dikira atlet gk tau prioritasnya apa.kalian jg gk tau kan dibelakangnya ky apa🙄",2021-12-06 02:35:19,replied_to
CFCTalks_,Bikek_,0,@CFCTalks_ @16mustaqiadam @idextratime Juara harapan tapinya🤣,2021-12-06 02:34:36,replied_to
Bang_Garr,quigon_ndronkz,0,"@Bang_Garr @jisatu01 mau juara 01 yak
✌🏼🤘🏼👻",2021-12-06 03:59:34,replied_to
,msiancubprix,0,"💬 Saingan pasti sengit! - @ahmadafifamran 

Mampukah Afif bergelar juara CP150 buat kali ke-3 tahun ini? Nantikan di #CubPrixFinale gais! Event page punya link min ada letak kat bawah ni 👇

https://t.co/pwa5PiRxoI

#SiapaPunyaMotor #PETRONAScubprix #PETRONASmotorsports https://t.co/JVPR9coNkN",2021-12-06 03:59:10,
txtdarigajelas,fauzanraha,132,RT @txtdarigajelas: juara dalam ilmu marketing: membuat orang penasaran https://t.co/Ljxkl93b9l,2021-12-06 03:59:05,retweeted
,sleeepytutu,0,Juara umum milihin toge di kwetiau,2021-12-06 03:58:50,
jenorenjeon,gaskuin,266,"RT @jenorenjeon: azzam, lo juara 1 kategori suami idaman. https://t.co/BEKbbKUrnq",2021-12-06 03:58:45,retweeted
ChelseaFC,DannyBuana,0,@ChelseaFC @ChelseaFCW Yang cewe dah juara tinggal yang cowonya😘 anti puasa2 club🤣,2021-12-06 03:58:21,replied_to
jokitugasfess,ffrmancisco,0,"@jokitugasfess Aku bisa, langganan juara, bisa DM saya jika minat",2021-12-06 03:57:48,replied_to
bulutangkisRI,ditaaanna,203,"RT @bulutangkisRI: Gideon/Kevin (Minions) SSF/WTF:

SSF
2016: Penyisihan Grup (Finish di Posisi ke-3)
2017: JUARA (vs Liu/Zhang)

WTF
2018:…",2021-12-06 03:57:05,retweeted
ridwanhr,alfutijani,0,"@ridwanhr Biar max yg juara, bosen hamilton mulu, red bull juga biar balik modal udah jor²an di F1",2021-12-06 03:56:30,replied_to
,icryduringssx,0,garela banget gue kalo hamilton lagi yang juara,2021-12-06 03:56:22,
Ongis_Tegar,bezakariyya,47,RT @Ongis_Tegar: Sementara itu tim esport @AremafcOfficial melalui sam ferry gumilang berhasil menjadi juara liga 1 https://t.co/hlJDYZXQeD…,2021-12-06 03:55:55,retweeted
AremafcOfficial,rendybondet,60,RT @AremafcOfficial: GELAR JUARA didapatkan oleh Arema FC di ajang IFeLeague. Pada penyelenggaraan sebelumnya Arema FC yang diperkuat oleh…,2021-12-06 03:55:44,retweeted
,kamusbesarkbbi,0,#Murid Asal Indramayu Jadi Juara dalam Ajang Pasanggiri Bahasa Sunda Tingkat Provinsi Jabar - Tribun Cirebon https://t.co/OpDg0JDf65 #kamus #kbbi #bahasa,2021-12-06 03:55:20,
rvnalcide,sachikoisha,7,"RT @rvnalcide: Anak GAIA yang gampang ditipu: 
#1 Jean (=)
#2 Dzaki (-1)
#3 El (+1)
#4 Jingga (+1) 
#5 Iyos (-2)

Tukang nipu di GAIA:
#1 L…",2021-12-06 03:55:14,retweeted
ChelseafanIndo,sudahterhubung,0,"@ChelseafanIndo ""that situation""

Mirip-mirip yg dialami Klopp musim lalu. Banyak pemain penting bertumbangan. Chelsea masih mending punya back up bagus, musim mereka jg masih dijalur juara.",2021-12-06 03:53:39,replied_to
,MySukan_TV,0,"SAINGAN GELARAN JUARA CP150 SEMAKIN RANCAK

#mySukanTV #BeritaSukan #PETRONAScubprix #PETRONASmotorsports #cubprix #motorsports #MalaysianCubPrix 

@msiancubprix 

 https://t.co/0df15GgEoG",2021-12-06 03:52:28,
meongpalo,sopankahbegituw,0,@meongpalo @juventusfcid Kalem bang. Meski permainan amburadul sblm libur tengah musim gw yakin jarak poin ke Napoli jadi 6 poin. Awal Januari ketemu Napoli pangkas jd 3 poin. Masih kebuka peluang juara kl sisa match sampai Desember menang semua.,2021-12-06 03:51:53,replied_to
pecintalive,Intelcorei55,70,RT @pecintalive: Sonia emang juara 😍 https://t.co/AFmjagcXZv,2021-12-06 03:51:45,retweeted
,BatamPos,0,Nomor 1 Dunia dari Indonesia Gagal Juara BWF World Tour Finals https://t.co/zEvxpxjPSW,2021-12-06 03:51:23,
A1_Feri,JoChandr,0,"@A1_Feri Dapet gengsinya aja ya, itupun kalau juara :)",2021-12-06 03:51:04,replied_to
Melawan,trainveller,0,Melawan Young Boys bisa jadi akan ada rotasi besar dan Ralf memainkan semua pemain pelapisnya mengingat @ManUtd sudah pasti lolos sebagai juara grup. Ini sekaligus juga akan jadi 'audisi' bagi pemain - pemain tersebut..,2021-12-06 03:49:52,replied_to
rrthrnn,xxviivixmvi,0,"@rrthrnn @P_Gun77 gw kira masi di bali, eh tiba tiba aja udahh juara di bangladesh😭😭",2021-12-06 03:49:17,replied_to
syafniir,C3uC3uuuuu_49,0,@syafniir @KentArockerss @kkmanti @Ndons_Back @cybacaby @jingga1507 @rahmatsn @dgLewa2011 @bread_selling @parlinburman84 @Dwimesse_Dwi @Dwirusjo1 @keongbalap99 Juara makan😁😁😁,2021-12-06 03:48:19,replied_to
KentArockerss,syafniir,0,@KentArockerss @C3uC3uuuuu_49 @kkmanti @Ndons_Back @cybacaby @jingga1507 @rahmatsn @dgLewa2011 @bread_selling @parlinburman84 @Dwimesse_Dwi @Dwirusjo1 @keongbalap99 Si ceu mah juara...,2021-12-06 03:48:01,replied_to
,AremafcOfficial,60,"GELAR JUARA didapatkan oleh Arema FC di ajang IFeLeague. Pada penyelenggaraan sebelumnya Arema FC yang diperkuat oleh Ferry Gumilang ini menjadi runner up.
Pertahankan gelar juara ini Singo Edan! 🦁🏆💙

#solidarity 
#aremafc #aremania #SalamSatuJiwa https://t.co/uAIXAefsMa",2021-12-06 03:47:30,
syafniir,KentArockerss,0,@syafniir @C3uC3uuuuu_49 @kkmanti @Ndons_Back @cybacaby @jingga1507 @rahmatsn @dgLewa2011 @bread_selling @parlinburman84 @Dwimesse_Dwi @Dwirusjo1 @keongbalap99 Juara dah bah,2021-12-06 03:47:21,replied_to
,f12mansyah_,1,Layak ga komposisi pemain ini jadi juara? Musim pertama penentuan gelar juara lawan Tim yang berjuang terhindar degradasi... @id_fm https://t.co/WiLVPVVikK,2021-12-06 03:47:10,
,jpnncom,0,Kevin Sanjaya Sukamuljo/Marcus Fernaldi Gideon a.k.a The Minions tetap kantongi hadiah fantastis meski gagal juara BWF World Tour Finals 2021. #TheMinions https://t.co/MJo81icZDv,2021-12-06 03:47:02,
JPFBASE,luchaaai,0,"@JPFBASE Love me, love me not paling juara! Serasa lagi nontonin cowok manga di dunia nyataaa 🥲 feelnya kerasa, akting pemainnya bagus, soundtrack-nya jangan ditanya 👍🏻",2021-12-06 03:46:53,replied_to
detikcom,verymessyme,0,@detikcom Statemen ngawur 😂 menang kejuaraan dunia beregu putra paling bergengsi setelah 19 tahun masa ga di apresiasi? Udh gt kejuaraan bergengsi gini ga dapet prize money. Yakali keluarga mereka makan kok sama raket 🤣 mending urus cabor sendiri aja deh. Jgn lupa kl juara dikasih bonus,2021-12-06 03:46:16,replied_to
beenhereandthe,OctarianiSri,0,"@beenhereandthe Nih lah org sok tau tpi kgk tau, org Kevin sendiri yg bilang, ngapain mereka capek2 ngumpulin point klo kgk ikut WTF dan karna beban tuan rumah juga, mereka nggak menargetkan juara  karna mereka cmn main semaximal sebisa mereka karna stamina juga, klo kalah ya belum rezekinya",2021-12-06 03:46:16,replied_to
,KaosJerseyBola_,0,"19x Piala Dunia, hanya 8 negara yg pernah jd juara: Brasil (5), Italia (4), Jerman (3), Argentina &amp; Uruguay (2), Inggris, Prancis, &amp; Spanyol",2021-12-06 03:46:04,
kevingideonfc,suswanti_ery,0,@kevingideonfc Bangga sih..cuma ada rasa sakit klo lawan yg juara😪,2021-12-06 03:45:02,replied_to
Syawaludin3687,ajojuki,12,"RT @Syawaludin3687: Air yg sedikit kadang sdh cukup utk diri kita, sebab jika air itu bnyk mungkin bisa menenggelamkan kita

Krn mental jua…",2021-12-06 03:44:44,retweeted
