author,username,retweet_count,tweets,created_at,type
GAHunterFess,wandacityx,0,@GAHunterFess suka badminton ngak? atlet favoritnya siapa?,2021-12-06 03:41:47,replied_to
bulutangkisINA,bukafit_,0,"@bulutangkisINA Idihhh iri bilang! Atlet badmin kan ud nyetak banyak prestasi utk Indonesia! Masih pelit aje!

https://t.co/JUAlVesF4T
Kode: BUKAFITPYR1

Oh iya, buat kalian yang jg pengen jago main badminton, yuk sering2 latihan dengan raket YONEX ini!

Jangan lupa pakai kode biar diskon 50% ya",2021-12-06 03:40:36,replied_to
biochemmoy,heiiidude,336,"RT @biochemmoy: 🏸🐨 Badminton Family AU 🐨🏸

Mengisahkan keseharian seorang bapak single parent dan ketiga anaknya. Anggota keluarga: Babah A…",2021-12-06 03:39:32,retweeted
SekuntumSeroja,baldhaenton_,1,RT @SekuntumSeroja: Bikin akun ini tanggal 31/10/2021 karena merasakan teman rl gw mulai sebel sama gw twit badminton mulu wkwk. 300 yang f…,2021-12-06 03:36:21,retweeted
detikcom,yadhiyadhiyadhi,0,"@detikcom map ni map..

mgkn merasanya badminton ini udah jadi center of attention sport di indonesia selain sepak bola, jadi wajar kalo diapresiasi bonus",2021-12-06 03:35:15,replied_to
,eccendast,0,gue sdih bgt karna soal pjok gue gaada ttg badminton pdhal taun lalu ad,2021-12-06 03:34:30,
kevgidminions,Ikrima741,5,"RT @kevgidminions: Marcus Fernaldi Gideon /
Kevin Sanjaya Sukamuljo
in #BWFWorldTourFinals2021 (52)

© Badminton Photo https://t.co/WXKIvaq…",2021-12-06 03:31:39,retweeted
kevgidminions,xoloy16,9,"RT @kevgidminions: Marcus Fernaldi Gideon /
Kevin Sanjaya Sukamuljo
in #BWFWorldTourFinals2021 (53)

© Badminton Photo, PB Djarum https://t…",2021-12-06 03:30:20,retweeted
,okezonenews,0,"An memang berhasil mendominasi pertandingan dalam dua gim saat melawan Sindhu. Pebulu tangkis berusia 19 tahun itu terus menyerang pertahanan tunggal putri India

https://t.co/ty6Y0hT8tJ",2021-12-06 03:30:00,
,SekuntumSeroja,1,Bikin akun ini tanggal 31/10/2021 karena merasakan teman rl gw mulai sebel sama gw twit badminton mulu wkwk. 300 yang follow gw ngapain dah gw suka emosian tau https://t.co/5sWcBQwZJ0,2021-12-06 03:27:52,
Marcus,kevgidminions,9,"Marcus Fernaldi Gideon /
Kevin Sanjaya Sukamuljo
in #BWFWorldTourFinals2021 (53)

© Badminton Photo, PB Djarum https://t.co/2RLHMpIhY8",2021-12-06 03:22:43,replied_to
